id,Brand,catalog_number
2294908,Morse,80XLO 10 FT
2294912,Morse,25 C/L S/C S/F
2294916,Morse,06B-1 O/L SC
2294920,Morse,06B-3 O/L SC
2294924,Morse,08B-2 O/L SC
2294928,Morse,10B-1 O/L SC
2294932,Morse,10B-3 O/L SC
2294936,Morse,12B-2 O/L SC
2294940,Morse,16B-2 C/L SC
2294948,Morse,20B-3 C/L CP
2294952,Morse,24B-2 C/L SC
2294956,Morse,32B-1 C/L SC
2294960,Morse,32B-3 O/L SC
2294964,Morse,25 POLYPROP 10 FT
2294968,Morse,35 POLYPROP 10 FT
2294972,Morse,40 POLYPROP 10 FT
2294976,Morse,25B13 NYLATRON NB
2294980,Morse,25B17 NYLATRON NB
2294984,Morse,25B21 NYLATRON NB
2294988,Morse,25B28 NYLATRON NB
2294992,Morse,25B48 NYLATRON NB
2294996,Morse,35B10 NYLATRON NB
2295000,Morse,35B15 NYLATRON NB
2295004,Morse,35B24 NYLATRON NB
2295008,Morse,35B36 NYLATRON NB
2295012,Morse,40B10 NYLATRON NB
2295016,Morse,40B24 NYLATRON NB
2295156,Morse,10B-2 25 FT
2295160,Morse,12B-2 10FT
2295164,Morse,16B-1 10 FT
2295168,Morse,20B-2 10 FT
2295172,Morse,24B-3 10 FT
2295176,Morse,C40 26
2295180,Morse,C80 28
2295184,Morse,100 B2 R/L
2295188,Morse,100 S1 R/L
2295192,Morse,120 B1 R/L
2295196,Morse,120 D3 C/L C/P S/F
2295200,Morse,140 B1 C/L C/P S/F
2295204,Morse,140 D3 C/L C/P S/F
2295208,Morse,160 B1 C/L C/P S/F
2295212,Morse,160 D1 C/L C/P S/F
2295216,Morse,160 S2 R/L
2295220,Morse,35 B2 R/L
2295224,Morse,35 S1 R/L
2295228,Morse,40 B1 C/L S/C S/F
2295232,Morse,40 D1 C/L S/C S/F
2295236,Morse,40 S2 C/L S/C S/F
2295240,Morse,40-2 S1 C/L S/C S/F
2295244,Morse,41 B2 C/L S/C S/F
2295248,Morse,41 S1 C/L S/C S/F
2295252,Morse,50 B1 C/L S/C S/F
2295256,Morse,50 D1 C/L S/C S/F
2295260,Morse,50 S2 C/L S/C S/F
2295268,Morse,60 B2 C/L S/C S/F
2295276,Morse,80 B1 C/L C/P S/F
2295280,Morse,80 D1 C/L C/P S/F
2295284,Morse,80 S2 C/L C/P S/F
2295292,Morse,C2040 B22 C/L S/C S/F
2295296,Morse,C2040 S11 C/L S/C S/F
2295300,Morse,C2040 S21 C/L S/C S/F
2295304,Morse,C2042 B22 R/L
2295316,Morse,C2050 S12 C/L S/C S/F
2295320,Morse,C2050 S22 C/L S/C S/F
2295324,Morse,C2052 B21 R/L
2295332,Morse,C2060H B22 C/L C/P S/F
2295336,Morse,C2060H S11 C/L C/P S/F
2295344,Morse,C2062H B22 R/L
2295353,Morse,C2080H B21 R/L
2295357,Morse,C2080H D3 C/L C/P S/F
2295361,Morse,C2080H S21 R/L
2295365,Morse,C2082H B12 R/L
2295369,Morse,C2100H B11 C/L C/P S/F
2295373,Morse,C2100H B21 C/L C/P S/F
2295377,Morse,C2100H D1 C/L C/P S/F
2295381,Morse,C2100H S12 C/L C/P S/F
2295385,Morse,C2100H S22 R/L
2295389,Morse,C2120H B11 C/L C/P S/F
2295393,Morse,C2120H B22 C/L C/P S/F
2295397,Morse,C2120H S11 R/L
2295401,Morse,C2120H S21 R/L
2295409,Morse,40R 200FT
2295413,Morse,40R 50FT
2295425,Morse,100R 10FT
2295429,Morse,80C 50FT
2295433,Morse,MT140C 10.21FT
2295437,Morse,MT160R 10FT
2295441,Morse,100-3R 10FT
2295449,Morse,100H-2C 10FT
2295453,Morse,100H-4C 10FT
2295457,Morse,100H-6C 10FT
2295461,Morse,100HR 100FT
2295465,Morse,105R 50FT
2295469,Morse,120-3R 10FT
2295473,Morse,120-5R 10FT
2295477,Morse,120C 10FT
2295481,Morse,120H-3R 10FT
2295485,Morse,120H-5R 10FT
2295489,Morse,120HR 10FT
2295493,Morse,140-2R 10.21FT
2295497,Morse,140-4R 10.21FT
2295501,Morse,140-6R 10.21FT
2295505,Morse,140H-2C 10.21FT
2295509,Morse,140H-4C 10.21FT
2295513,Morse,140H-6C 10.21FT
2295517,Morse,140R 10.21FT
2295521,Morse,160-3C 10FT
2295525,Morse,160-5C 10FT
2295529,Morse,160-8C 10FT
2295533,Morse,160H-3C 10FT
2295537,Morse,160H-5C 10FT
2295541,Morse,160HC 10FT
2295545,Morse,200-2R 10FT
2295549,Morse,200-4R 10FT
2295553,Morse,200H-3C 10FT
2295565,Morse,50-2R 100FT
2295569,Morse,60-2C 10FT
2295573,Morse,60-3C 10FT
2295577,Morse,60-4R 10FT
