id,catalog_number,cad
2788353,CP99,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_CP99.dxf
2385594,BBVO/350,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_BBVO_350.dxf
158252,1108.3/4,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_1108_3_4.dxf
2377558,1108.5/8,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_1108_5_8.dxf
2377556,1108.1/2,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_1108_1_2.dxf
172586,8MX-50S-21,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8MX-50S-21.dxf
178256,B35,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_B35.dxf
1249224,13/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX950.dxf
1249223,13/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX900.dxf
1249222,13/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX850.dxf
1249221,13/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX800.dxf
1249220,13/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX750.dxf
1249219,13/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX710.dxf
1249218,13/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX670.dxf
1249217,13/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX630.dxf
1249216,13/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX600.dxf
1249215,13/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX560.dxf
1249214,13/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX530.dxf
1249213,13/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_13_5VX500.dxf
1249159,12/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX2000.dxf
2242351,12/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1900.dxf
1249158,12/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1800.dxf
1249157,12/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1700.dxf
1249156,12/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1600.dxf
1249155,12/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1500.dxf
1249154,12/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1400.dxf
1249153,12/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1320.dxf
1249152,12/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1250.dxf
1249151,12/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1180.dxf
1249150,12/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1120.dxf
1249149,12/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1060.dxf
1249148,12/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX1000.dxf
1249171,12/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX950.dxf
1249170,12/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_12_5VX900.dxf
