id,catalog_number,cad
2294393,404 KD 11 SS,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-KD11_Master-404_KD11_SS_NR.IGS
2276805,2BK34X5/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-2BK_Sheave_Master2-2BK34X5-8.IGS
2272025,VF2S-236,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF2S-236-DEFAULT.IGS
2284204,W2  3 5/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-W2-T1_BushingMaster-W2_3_5-8.IGS
2284238,W2  6 7/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-W2-T2_BushingMaster-W2_6_7-16.IGS
2290104,307DSP307,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-307DSP307-DEFAULT.IGS
2287058,4C100E,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C100E.IGS
2287517,65V550SD,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-65V_LG_Sheavemaster-65V550SD.IGS
2289835,SCTE10X2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-scte10_x_2-DEFAULT.IGS
2281464,40HQ200,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-GBPulley_Master5-40HQ200.IGS
2272074,VF4S-220S,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF4S-220S-DEFAULT.IGS
2282747,G 20 MM,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-G_Bushing_Master-G_20_MM.IGS
2275989,3TC130,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3TC-L_Sheave_Master-3TC130.IGS
2271963,VFCS-239,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VFCS-239-DEFAULT.IGS
2272281,VF4S-335 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF4S-335_AH-DEFAULT.IGS
2287636,E 3 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-QD-E_Bushing_Master-E_3_1-2.IGS
2275613,VB-219,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VB-219-DEFAULT.IGS
2275822,VPLB-232S,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPLB-232S-DEFAULT.IGS
2287076,4C70SF,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C70SF.IGS
2292737,2 1/2F EB FF,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-1-5-7_FF-2_5F_EB_FF.IGS
2275787,VPB-320,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPB-320-DEFAULT.IGS
2287841,N 2 3/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-N_Bushing_Master-N_2_3-4.IGS
2275729,VF4B-235,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF4B-235-DEFAULT.IGS
2275996,3TC76,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3TC-S_Sheave_Master-3TC76.IGS
2275967,2TC240,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-2TC-L_Sheave_Master-2TC240.IGS
2272109,VPE-212,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VPE-212-DEFAULT.IGS
2293924,204 KD 20 LL1200 FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_STD_MASTER-204_KD20_LL1200.IGS
2281611,20H100SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-GBPulley_Master6-20H100SH.IGS
2287081,4C95E,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C95E.IGS
2282865,Q1  2 7/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-Q1-Type2_Bushing_Master-Q1_2_7-16.IGS
2287062,4C130E,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C130E.IGS
2284244,W2  7 3/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-W2-T2_BushingMaster-W2_7_3-8.IGS
2287929,P 5 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-P_Bushing_Master-P_5_1-8.IGS
2294465,454 KD 20 LL1200,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_STD_MASTER-454_KD20_LL1200.IGS
2272018,VF2S-231,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF2S-231-DEFAULT.IGS
2294264,304 KD 21 LL900,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_Master-304_KD21_LL900.IGS
2891246,107HMTP15 9T SAE-A 2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-107hmtp-9t-DEFAULT.IGS
2293792,153 KD 2 SS500 FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD2_STD_MASTER-153_KD2_SS500.IGS
2287196,8B200F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-8AB_LG_Sheavemaster-8B200F.IGS
2276335,AK74X1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master2-AK74X1-2.IGS
2283074,S1  3 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-S1-S2_Type2_BushingMaster-S1_3_1-2.IGS
2282926,Q3  1 15/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-Q3-Type1_Bushing_Master-Q3_1_15-16.IGS
2891258,215HMTP05 14T SAE-C 4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-215HMTP-14T-DEFAULT.IGS
2293699,103 KD 21 LS350,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_MASTER-103_KD21_LS350.IGS
2290163,315TBP315,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-315TBP_Bushing_master-315TBP315.IGS
2289985,203TBP115,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-203TBP_Bushing_master-203TBP115.IGS
2276205,AK21X3/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master1-AK21X3-4.IGS
2272649,JA 1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-QD-JA_Bushing_Master-JA_1_1-4.IGS
2284767,2TB34,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-2TB-S_Sheave_Master-2TB34.IGS
2292221,6H EB FR FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-H_1-7_FR_Master-6H_EB_FR.IGS
2891259,215HMTP25 6B SAE-A 2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-215HMTP-6B-DEFAULT.IGS
2285317,5B5V80,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-5B5V-SheaveMaster-5B5V80.IGS
2272405,VS-216,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VS-216-DEFAULT.IGS
2271719,VF2E-108,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF2E-108-DEFAULT.IGS
2287901,P 3 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-P_Bushing_Master-P_3_3-16.IGS
2288014,SDS 15/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-QD-SDS_Bushing_Master-SDS_15-16.IGS
2275821,VPLB-232,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPLB-232-DEFAULT.IGS
2278435,BK36H,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-BKH_Sheave_Master-BK36H.IGS
2285298,5B5V184,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-5B5V-SheaveMaster-5B5V184.IGS
2290060,215DSP300-3,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-215DSP300-3-DEFAULT.IGS
2286983,3B44SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3AB_LG_Sheavemaster-3B44SH.IGS
2281755,44H300SK,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-GBPulley_Master6-44H300SK.IGS
2284263,T55LX 1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-T55LX_1_1-4-DEFAULT.IGS
2293887,204 KD 20 JJ1400,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_JUMBO_MASTER-204_KD20_JJ1400.IGS
2287126,5C300F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5C_LG_Sheavemaster-5C300F.IGS
2287409,48V1500F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-48V_LG_Sheavemaster-48V1500F.IGS
2287286,25V440SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-25V_LG_Sheavemaster-25V440SH.IGS
2292696,1 1/2F EB FR,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-1-5-7_FR-1_5F_EB_FR.IGS
2285285,4B5V66,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-4B5V-SheaveMaster-4B5V66.IGS
2275707,VF4B-212,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF4B-212-DEFAULT.IGS
2287312,33V365SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-33V_LG_Sheavemaster-33V365SH.IGS
2276015,4TC160,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4TC-L_Sheave_Master-4TC160.IGS
2293701,103 KD 21 LS500,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_MASTER-103_KD21_LS500.IGS
2276302,AK61X 1 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master2-AK61X_1_3-16.IGS
