url,catalog_number,name,ids
https://www.baldorvip.com/Drawing/Index/MTE-4090-BLBCE-54P706Z104.pdf?partNo=MTE-4090-BLBCE&dokar=DRW&doknr=54P706Z104&dokvr=01&document=54P706Z104_Layout1.PLT,MTE-4090-BLBCE,Drawing #: 54P706Z104,22512
https://www.baldorvip.com/Drawing/Index/MTE-4090-BLBCE-CD1143.pdf?partNo=MTE-4090-BLBCE&dokar=DRW&doknr=CD1143&dokvr=05&document=CD1143_Layout1.PLT,MTE-4090-BLBCE,Drawing #: CD1143,22512
https://www.baldorvip.com/Drawing/Index/MTE-4090-BLBCE-CD0194.pdf?partNo=MTE-4090-BLBCE&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MTE-4090-BLBCE,Drawing #: CD0194,22512
https://www.baldorvip.com/Drawing/Index/MTE-4070-BLBCE-54LYP062.pdf?partNo=MTE-4070-BLBCE&dokar=DRW&doknr=54LYP062&dokvr=01&document=54LYP062_Layout1.PLT,MTE-4070-BLBCE,Drawing #: 54LYP062,22517
https://www.baldorvip.com/Drawing/Index/MTE-4070-BLBCE-CD1143.pdf?partNo=MTE-4070-BLBCE&dokar=DRW&doknr=CD1143&dokvr=05&document=CD1143_Layout1.PLT,MTE-4070-BLBCE,Drawing #: CD1143,22517
https://www.baldorvip.com/Drawing/Index/MTE-4070-BLBCE-CD0194.pdf?partNo=MTE-4070-BLBCE&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MTE-4070-BLBCE,Drawing #: CD0194,22517
https://www.baldorvip.com/Drawing/Index/MTE-3363-BLBCN-53P500Z024.pdf?partNo=MTE-3363-BLBCN&dokar=DRW&doknr=53P500Z024&dokvr=00&document=53P500Z024-.PLT,MTE-3363-BLBCN,Drawing #: 53P500Z024,22533
https://www.baldorvip.com/Drawing/Index/MTE-3363-BLBCN-CD0954.pdf?partNo=MTE-3363-BLBCN&dokar=DRW&doknr=CD0954&dokvr=03&document=CD0954J.PLT,MTE-3363-BLBCN,Drawing #: CD0954,22533
https://www.baldorvip.com/Drawing/Index/MTE-3363-BLBCN-CD0194.pdf?partNo=MTE-3363-BLBCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MTE-3363-BLBCN,Drawing #: CD0194,22533
https://www.baldorvip.com/Drawing/Index/BSM90C-3150BA-S3LYP206.pdf?partNo=BSM90C-3150BA&dokar=DRW&doknr=S3LYP206&dokvr=00&document=S3LYP206-.PLT,BSM90C-3150BA,Drawing #: S3LYP206,22524
https://www.baldorvip.com/Drawing/Index/BSM90C-3150BA-CD0006A02.pdf?partNo=BSM90C-3150BA&dokar=DRW&doknr=CD0006A02&dokvr=03&document=CD0006A02_Layout1.PLT,BSM90C-3150BA,Drawing #: CD0006A02,22524
https://www.baldorvip.com/Drawing/Index/MT-4545-BTYCN-55LYP537.pdf?partNo=MT-4545-BTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4545-BTYCN,Drawing #: 55LYP537,22542
https://www.baldorvip.com/Drawing/Index/MT-4545-BTYCN-CD0961.pdf?partNo=MT-4545-BTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4545-BTYCN,Drawing #: CD0961,22542
https://www.baldorvip.com/Drawing/Index/MT-4545-BTYCN-CD0194.pdf?partNo=MT-4545-BTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4545-BTYCN,Drawing #: CD0194,22542
https://www.baldorvip.com/Drawing/Index/MT-4545-ATYCN-55LYP537.pdf?partNo=MT-4545-ATYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4545-ATYCN,Drawing #: 55LYP537,22541
https://www.baldorvip.com/Drawing/Index/MT-4545-ATYCN-CD0961.pdf?partNo=MT-4545-ATYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4545-ATYCN,Drawing #: CD0961,22541
https://www.baldorvip.com/Drawing/Index/MT-4545-ATYCN-CD0194.pdf?partNo=MT-4545-ATYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4545-ATYCN,Drawing #: CD0194,22541
https://www.baldorvip.com/Drawing/Index/MTE-2250-BCBCN-52P300Z006.pdf?partNo=MTE-2250-BCBCN&dokar=DRW&doknr=52P300Z006&dokvr=00&document=52P300Z006-.PLT,MTE-2250-BCBCN,Drawing #: 52P300Z006,22549
https://www.baldorvip.com/Drawing/Index/MTE-2250-BCBCN-CD0954.pdf?partNo=MTE-2250-BCBCN&dokar=DRW&doknr=CD0954&dokvr=03&document=CD0954J.PLT,MTE-2250-BCBCN,Drawing #: CD0954,22549
https://www.baldorvip.com/Drawing/Index/MTE-2250-BCBCN-CD0194.pdf?partNo=MTE-2250-BCBCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MTE-2250-BCBCN,Drawing #: CD0194,22549
https://www.baldorvip.com/Drawing/Index/MT-4535-ATYCN-55LYP537.pdf?partNo=MT-4535-ATYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4535-ATYCN,Drawing #: 55LYP537,22550
https://www.baldorvip.com/Drawing/Index/MT-4535-ATYCN-CD0961.pdf?partNo=MT-4535-ATYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4535-ATYCN,Drawing #: CD0961,22550
https://www.baldorvip.com/Drawing/Index/MT-4535-ATYCN-CD0194.pdf?partNo=MT-4535-ATYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4535-ATYCN,Drawing #: CD0194,22550
https://www.baldorvip.com/Drawing/Index/MT-4545-CTYCN-55LYP537.pdf?partNo=MT-4545-CTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4545-CTYCN,Drawing #: 55LYP537,22543
https://www.baldorvip.com/Drawing/Index/MT-4545-CTYCN-CD0961.pdf?partNo=MT-4545-CTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4545-CTYCN,Drawing #: CD0961,22543
https://www.baldorvip.com/Drawing/Index/MT-4545-CTYCN-CD0194.pdf?partNo=MT-4545-CTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4545-CTYCN,Drawing #: CD0194,22543
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-55LYP537.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4535-CTYCN,Drawing #: 55LYP537,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-CD0961.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4535-CTYCN,Drawing #: CD0961,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-CD0194.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4535-CTYCN,Drawing #: CD0194,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-55LYP537.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4535-BTYCN,Drawing #: 55LYP537,22551
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-CD0961.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4535-BTYCN,Drawing #: CD0961,22551
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-CD0194.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4535-BTYCN,Drawing #: CD0194,22551
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-54LYP050.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=54LYP050&dokvr=01&document=54LYP050_Layout1.PLT,MT-4090-BLYCE,Drawing #: 54LYP050,22555
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-CD1114.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=CD1114&dokvr=03&document=CD1114_Layout1.PLT,MT-4090-BLYCE,Drawing #: CD1114,22555
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-CD0194.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4090-BLYCE,Drawing #: CD0194,22555
https://www.baldorvip.com/Drawing/Index/BSM90C-3250AA-S3LYP155.pdf?partNo=BSM90C-3250AA&dokar=DRW&doknr=S3LYP155&dokvr=04&document=S3LYP155_Layout1.plt,BSM90C-3250AA,Drawing #: S3LYP155,22557
https://www.baldorvip.com/Drawing/Index/BSM90C-3250AA-CD1404.pdf?partNo=BSM90C-3250AA&dokar=DRW&doknr=CD1404&dokvr=00&document=150A.PLT,BSM90C-3250AA,Drawing #: CD1404,22557
