id,catalog_number,brand,cad
2294905,50XLO 10 FT,Morse,nan
2294917,06B-2 C/L SC,Morse,nan
2294933,12B-1 C/L SC,Morse,nan
2294921,08B-1 C/L SC,Morse,nan
2294937,12B-3 C/L SC,Morse,nan
2294941,16B-2 O/L,Morse,nan
2294909,25R 10 FT,Morse,nan
2294929,10B-2 C/L SC,Morse,nan
2294925,08B-3 C/L SC,Morse,nan
2294945,20B-1 O/L SC,Morse,nan
2294953,24B-2 O/L SC,Morse,nan
2294957,32B-2 C/L SC,Morse,nan
2294949,20B-3 O/L SC,Morse,nan
2294977,25B14 NYLATRON NB,Morse,nan
2294961,25 DELRIN 10 FT,Morse,nan
2294965,35 DELRIN 10 FT,Morse,nan
2294969,40 DELRIN 10 FT,Morse,nan
2294973,25B10 NYLATRON NB,Morse,nan
2294981,25B18 NYLATRON NB,Morse,nan
2294985,25B22 NYLATRON NB,Morse,nan
2294989,25B30 NYLATRON NB,Morse,nan
2294997,35B11 NYLATRON NB,Morse,nan
2294913,25 O/L 2P,Morse,nan
2295001,35B16 NYLATRON NB,Morse,nan
2295013,40B12 NYLATRON NB,Morse,nan
2295005,35B26 NYLATRON NB,Morse,nan
2295009,35B40 NYLATRON NB,Morse,nan
2294993,25B54 NYLATRON NB,Morse,nan
2295153,10B-1 10FT,Morse,nan
2295149,08B-2 10FT,Morse,nan
2295017,40B32 NYLATRON NB,Morse,nan
2295157,10B-3 10FT,Morse,nan
2295161,12B-2 25 FT,Morse,nan
2295185,100 D1 C/L C/P S/F,Morse,nan
2295145,06B-2 10FT,Morse,nan
2295189,100 S2 C/L C/P S/F,Morse,nan
2295169,20B-3 10 FT,Morse,nan
2295201,140 B2 C/L C/P S/F,Morse,nan
2295165,16B-2 10 FT,Morse,nan
2295209,160 B1 R/L,Morse,nan
2295205,140 S1 C/L C/P S/F,Morse,nan
2295225,35 S2 C/L S/C S/F,Morse,nan
2295193,120 B2 C/L C/P S/F,Morse,nan
2295233,40 D3 C/L S/C S/F,Morse,nan
2295249,41 S1 R/L,Morse,nan
2295181,100 B1 C/L C/P S/F,Morse,nan
2295217,35 B1 C/L S/C S/F,Morse,nan
2295177,C60 24,Morse,nan
2295213,160 D3 C/L C/P S/F,Morse,nan
2295241,40-2 S2 C/L S/C S/F,Morse,nan
2295257,50 D3 C/L S/C S/F,Morse,nan
2295265,60 B1 C/L S/C S/F,Morse,nan
2295269,60 B2 R/L,Morse,nan
2295277,80 B1 R/L,Morse,nan
2295297,C2040 S11 R/L,Morse,nan
2295173,32B-1 10 FT,Morse,nan
2295309,C2050 B21 C/L S/C S/F,Morse,nan
2295221,35 D1 C/L S/C S/F,Morse,nan
2295237,40 S2 R/L,Morse,nan
2295293,C2040 B22 R/L,Morse,nan
2295301,C2040 S21 R/L,Morse,nan
2295321,C2050 S22 R/L,Morse,nan
2295333,C2060H B22 R/L,Morse,nan
2295337,C2060H S11 R/L,Morse,nan
2295317,C2050 S12 R/L,Morse,nan
2295354,C2080H B22 C/L C/P S/F,Morse,nan
2295261,50 S2 R/L,Morse,nan
2295345,C2062H S11 R/L,Morse,nan
2295350,C2080H B12 C/L C/P S/F,Morse,nan
2295285,80 S2 R/L,Morse,nan
2295374,C2100H B21 R/L,Morse,nan
2295378,C2100H D3 C/L C/P S/F,Morse,nan
2295358,C2080H S11 C/L C/P S/F,Morse,nan
2295390,C2120H B12 C/L C/P S/F,Morse,nan
2295366,C2082H B21 R/L,Morse,nan
2295398,C2120H S12 C/L C/P S/F,Morse,nan
2295394,C2120H B22 R/L,Morse,nan
2295406,C2122H B22 R/L,Morse,nan
2295382,C2100H S12 R/L,Morse,nan
2295341,C2060H S21 R/L,Morse,nan
2295313,C2050 D1 C/L S/C S/F,Morse,nan
2295370,C2100H B11 R/L,Morse,nan
2295402,C2120H S22 C/L C/P S/F,Morse,nan
2295426,100R 100FT,Morse,nan
2295386,C2102H B21 R/L,Morse,nan
2295450,100H-2R 10FT,Morse,nan
2295414,40R 500FT,Morse,nan
2295410,40R 250FT,Morse,nan
2295418,60C 10FT,Morse,nan
2295458,100H-6R 10FT,Morse,nan
2295434,MT140R 10.21FT,Morse,nan
2295478,120H-2C 10FT,Morse,nan
2295438,100-2C 10FT,Morse,nan
2295442,100-4C 10FT,Morse,nan
2295486,120H-6C 10FT,Morse,nan
2295482,120H-4C 10FT,Morse,nan
2295470,120-4C 10FT,Morse,nan
2295454,100H-4R 10FT,Morse,nan
2295446,100-6C 10FT,Morse,nan
2295430,80R 10FT,Morse,nan
2295490,120R 10FT,Morse,nan
2295466,120-2C 10FT,Morse,nan
2295422,60R 100FT,Morse,nan
2295474,120-6C 10FT,Morse,nan
2295494,140-3C 10.21FT,Morse,nan
2295510,140H-4R 10.21FT,Morse,nan
2295506,140H-2R 10.21FT,Morse,nan
2295498,140-5C 10.21FT,Morse,nan
2295514,140H-6R 10.21FT,Morse,nan
2295518,140R 50.17FT,Morse,nan
2295534,160H-3R 10FT,Morse,nan
2295538,160H-5R 10FT,Morse,nan
2295542,160HR 10FT,Morse,nan
2295546,200-3C 10FT,Morse,nan
2295502,140-8C 10.21FT,Morse,nan
2295526,160-5R 10FT,Morse,nan
2295550,200C 10FT,Morse,nan
2295562,40-3R 10FT,Morse,nan
2295558,200HR 10FT,Morse,nan
2295522,160-3R 10FT,Morse,nan
2295530,160C 10FT,Morse,nan
2295586,60H-5C 10FT,Morse,nan
2295582,60H-2C 10FT,Morse,nan
2295566,50-2R 50FT,Morse,nan
2295554,200H-3R 10FT,Morse,nan
2295594,65R 100FT,Morse,nan
2295598,8-120HR 10FT,Morse,nan
2295578,60-5C 10FT,Morse,nan
2295590,60HR 10FT,Morse,nan
2295570,60-2R 10FT,Morse,nan
2295626,80H-5R 10FT,Morse,nan
2295622,80H-3R 10FT,Morse,nan
2295610,80-3C 10FT,Morse,nan
2295602,8-160HR 10FT,Morse,nan
2295618,80-8C 10FT,Morse,nan
2295642,60LL C 10FT,Morse,nan
2295654,C2042R 10FT,Morse,nan
2295614,80-5C 10FT,Morse,nan
2295678,2050R 10FT,Morse,nan
2295670,C2102HR 10FT,Morse,nan
2295688,MT140 O/L,Morse,nan
2295696,C2042 R/L,Morse,nan
2295658,C2060HC 10FT,Morse,nan
2295683,2060R 100FT,Morse,nan
2295700,C2052 O/L,Morse,nan
2295692,C2040 C/L S/C S/F,Morse,nan
2295708,C2080H C/L C/P S/F,Morse,nan
2295748,100H-3 C/L C/P S/F,Morse,nan
2295732,100-4 C/L C/P S/F,Morse,nan
2295728,100-2 C/L C/P S/F,Morse,nan
2295650,80LL R 10FT,Morse,nan
2295744,100H-2 C/L C/P P/F,Morse,nan
2295736,100-6 C/L C/P S/F,Morse,nan
2295712,C2082H R/L,Morse,nan
2295716,C2102H O/L,Morse,nan
2295720,C2120H R/L,Morse,nan
2295752,100H-4 O/L,Morse,nan
2295740,100H C/L C/P P/F,Morse,nan
2295772,120H C/L C/P S/F,Morse,nan
2295776,120H-2 C/L C/P S/F,Morse,nan
2295724,100 C/L C/P S/F,Morse,nan
2295760,120-2 C/L C/P S/F,Morse,nan
2295768,120-6 C/L C/P S/F,Morse,nan
2295756,120 C/L C/P S/F,Morse,nan
2295788,140 R/L,Morse,nan
2295764,120-4 C/L C/P S/F,Morse,nan
2295784,140 C/L C/P P/F,Morse,nan
2295812,160 C/L C/P P/F,Morse,nan
2295816,160-2 C/L C/P S/F,Morse,nan
2295780,120H-3 O/L,Morse,nan
2295808,140H-3 O/L,Morse,nan
2295804,140H-2 C/L C/P S/F,Morse,nan
2295792,140-3 O/L,Morse,nan
2295832,160H-2 O/L,Morse,nan
2295796,140-5 O/L,Morse,nan
2295836,160H-4 O/L,Morse,nan
2295828,160H O/L,Morse,nan
2295848,200-4 C/L C/P S/F,Morse,nan
2295820,160-4 C/L C/P S/F,Morse,nan
2295844,200-2 C/L C/P S/F,Morse,nan
2295840,200 C/L C/P P/F,Morse,nan
2295800,140H C/L C/P S/F,Morse,nan
2295856,200H-3 C/L C/P P/F,Morse,nan
2295864,2050 C/L S/C S/F,Morse,nan
2295884,35-4 O/L,Morse,nan
2295868,2060 C/L C/P S/F,Morse,nan
2295860,2040 C/L S/C S/F,Morse,nan
2295892,40-4 C/L S/C S/F,Morse,nan
2295908,50-4 O/L,Morse,nan
2295852,200H O/L,Morse,nan
2295876,35 C/L S/C S/F,Morse,nan
2295916,60-2 C/L C/P S/F,Morse,nan
2295944,60H-5 C/L C/P S/F,Morse,nan
2295900,50 C/L S/C S/F,Morse,nan
2295888,40-2 C/L S/C S/F,Morse,nan
2295904,50-2 O/L,Morse,nan
2295920,60-3 C/L S/C S/F,Morse,nan
2295936,60H-2 C/L C/P S/F,Morse,nan
2295984,80H-2 C/L C/P S/F,Morse,nan
2295928,60-8 C/L C/P S/F,Morse,nan
2295992,80H-5 C/L C/P S/F,Morse,nan
2295972,80-4 C/L C/P S/F,Morse,nan
2295940,60H-3 O/L,Morse,nan
2295924,60-5 C/L C/P S/F,Morse,nan
2295980,80H C/L C/P S/F,Morse,nan
2295960,8-60H O/L,Morse,nan
2296012,50SS O/L,Morse,nan
2295988,80H-3 O/L,Morse,nan
2295968,80-2 C/L C/P S/F,Morse,nan
2296004,35SS C/L S/C S/F,Morse,nan
2295948,60LL R/L,Morse,nan
2296024,120MG C/L C/P S/F,Morse,nan
2296000,80XLO C/L C/P P/F,Morse,nan
2296008,40SS R 10FT,Morse,nan
2296032,40MG C/L S/C S/F,Morse,nan
2296040,50MG O/L,Morse,nan
2295912,60 C/L C/P S/F,Morse,nan
2296528,REWORK TL 150-250,Morse,nan
2296028,35MG O/L,Morse,nan
2295996,80LL R/L,Morse,nan
2295976,80-6 C/L C/P S/F,Morse,nan
2296532,REWORK TL 700,Morse,nan
2296048,60MG O/L,Morse,nan
2296020,80SS R 10FT,Morse,nan
2294916,06B-1 O/L SC,Morse,nan
