ids,catalog_number,cad
2944620,CR 99176,none
2944729,476210-200 C,none
2983208,TKBA 40,none
7286194,K8773081.00,none
2944606,TSN 520A,none
2944601,SNH 518 615 V,none
2938613,BS2-2218-2RS/GEM7,none
2919944,6202-2Z/GJN,none
2918953,6304-2Z/C3,none
2894338,7206,none
2930656,721,none
2938634,22218 E/C3,none
2789995,SYNT70L,none
2975908,BS2-2213-2RS/VT143,http://www.skf.com/cadDownload/02017062414365826925519192d056f/PARTserver02017062414365826925519192d056f.zip
2789994,CMAC-112-K-10M,none
2422359,CMAC-112K,none
2484310,BB1-0608 DD,none
2572739,6316M/C3VL0241,none
2894337,NU 207 ECP,http://www.skf.com/cadDownload/02017062414370230925520192d056f/PARTserver02017062414370230925520192d056f.zip
2919555,H 315,http://www.skf.com/cadDownload/02017062414370246525521192d056f/PARTserver02017062414370246525521192d056f.zip
2070596,C 2216 V/C4,none
2891517,NU 213 ECM,http://www.skf.com/cadDownload/02017062414370269925522192d056f/PARTserver02017062414370269925522192d056f.zip
2874003,N 1014 KPHA/SP,http://www.skf.com/cadDownload/02017062414370556925524192d056f/PARTserver02017062414370556925524192d056f.zip
2070598,C 2318,http://www.skf.com/cadDownload/02017062414370571025525192d056f/PARTserver02017062414370571025525192d056f.zip
2070586,FYT 3/4 WF,none
2070587,608-ZRZ/VK251,none
2070582,FY 1.5/8 WF,none
2070597,C 3224 K,http://www.skf.com/cadDownload/02017062414370850225527192d056f/PARTserver02017062414370850225527192d056f.zip
2544976,FYT 1.1/2 TF/VA228,http://www.skf.com/cadDownload/02017062414370698925526192d056f/PARTserver02017062414370698925526192d056f.zip
2070584,SY 1.3/4 WF,none
2070593,6202-2Z,http://www.skf.com/cadDownload/02017062414370883025528192d056f/PARTserver02017062414370883025528192d056f.zip
2070592,6201-2Z,http://www.skf.com/cadDownload/02017062414370890825529192d056f/PARTserver02017062414370890825529192d056f.zip
2070595,239/630 CAK/W33,http://www.skf.com/cadDownload/02017062414370931325530192d056f/PARTserver02017062414370931325530192d056f.zip
