ids,catalog_number,cad
2944729,476210-200 C,none
7286194,K8773081.00,none
2983208,TKBA 40,none
2938634,22218 E/C3,none
2944606,TSN 520A,none
2944601,SNH 518 615 V,none
2944620,CR 99176,none
2930656,721,none
2918953,6304-2Z/C3,none
2789995,SYNT70L,none
2789994,CMAC-112-K-10M,none
2572739,6316M/C3VL0241,none
2422359,CMAC-112K,none
2484310,BB1-0608 DD,none
2070596,C 2216 V/C4,none
2891517,NU 213 ECM,http://www.skf.com/cadDownload/02017062403304114908036192d056f/PARTserver02017062403304114908036192d056f.zip
2919555,H 315,http://www.skf.com/cadDownload/02017062403304132108037192d056f/PARTserver02017062403304132108037192d056f.zip
2894337,NU 207 ECP,http://www.skf.com/cadDownload/02017062403304358308039192d056f/PARTserver02017062403304358308039192d056f.zip
2544976,FYT 1.1/2 TF/VA228,http://www.skf.com/cadDownload/02017062403304506508040192d056f/PARTserver02017062403304506508040192d056f.zip
2070598,C 2318,http://www.skf.com/cadDownload/02017062403304514308041192d056f/PARTserver02017062403304514308041192d056f.zip
2070597,C 3224 K,http://www.skf.com/cadDownload/02017062403304587608042192d056f/PARTserver02017062403304587608042192d056f.zip
2070587,608-ZRZ/VK251,none
2070595,239/630 CAK/W33,http://www.skf.com/cadDownload/02017062403304665608044192d056f/PARTserver02017062403304665608044192d056f.zip
2070586,FYT 3/4 WF,none
2070593,6202-2Z,http://www.skf.com/cadDownload/02017062403304728008045192d056f/PARTserver02017062403304728008045192d056f.zip
2070594,6302-2Z,http://www.skf.com/cadDownload/02017062403304660908043192d056f/PARTserver02017062403304660908043192d056f.zip
2070591,6004-2Z,http://www.skf.com/cadDownload/02017062403304746708046192d056f/PARTserver02017062403304746708046192d056f.zip
2070592,6201-2Z,http://www.skf.com/cadDownload/02017062403304768608047192d056f/PARTserver02017062403304768608047192d056f.zip
2070590,6003-2Z,http://www.skf.com/cadDownload/02017062403304785708048192d056f/PARTserver02017062403304785708048192d056f.zip
2070584,SY 1.3/4 WF,none
2070589,6002-2Z,http://www.skf.com/cadDownload/02017062403304880908049192d056f/PARTserver02017062403304880908049192d056f.zip
2070588,6001-2Z,http://www.skf.com/cadDownload/02017062403304896508050192d056f/PARTserver02017062403304896508050192d056f.zip
2070582,FY 1.5/8 WF,none
2070581,238/850 CAKMA/C3W20,none
2070580,239/500 CAK/C3W33,none
2070579,230/670 CAK/C083W506,none
2070578,230/600 CAK/C083W506,none
2070574,OH 2340 H,none
2070573,NUP 210 ECNJ/C3,none
2070575,230/630 CAK/HA3C084W507,none
2070585,C 4026 V,http://www.skf.com/cadDownload/02017062403305358308052192d056f/PARTserver02017062403305358308052192d056f.zip
2070583,FYT 7/8 TF,http://www.skf.com/cadDownload/02017062403305403508053192d056f/PARTserver02017062403305403508053192d056f.zip
2070571,6312-RS2Z/C4S1VT228,none
2070577,628/6-2Z,http://www.skf.com/cadDownload/02017062403305717108054192d056f/PARTserver02017062403305717108054192d056f.zip
2070570,6312 NR,http://www.skf.com/cadDownload/02017062403310083708057192d056f/PARTserver02017062403310083708057192d056f.zip
2070572,6314 NR,http://www.skf.com/cadDownload/02017062403310068108056192d056f/PARTserver02017062403310068108056192d056f.zip
2070569,6312-ZNR,http://www.skf.com/cadDownload/02017062403310130508058192d056f/PARTserver02017062403310130508058192d056f.zip
2070568,6207 NR,http://www.skf.com/cadDownload/02017062403310146108059192d056f/PARTserver02017062403310146108059192d056f.zip
2070567,6206 NR,http://www.skf.com/cadDownload/02017062403310177308060192d056f/PARTserver02017062403310177308060192d056f.zip
2070565,6015 NR,http://www.skf.com/cadDownload/02017062403310219408061192d056f/PARTserver02017062403310219408061192d056f.zip
2070566,6204 NR,http://www.skf.com/cadDownload/02017062403310235008062192d056f/PARTserver02017062403310235008062192d056f.zip
