,catalog_number,file_links,ids
0,35X72X8 CRW1 R,https://mro-host.herokuapp.com/file_download/?name=skf_seals_35x72x8 CRW1 R.dxf,2972167
1,33X45X7 HMS5 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_33x45x7 HMS5 RG.dxf,2576241
2,33X45X7 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_33x45x7 HMS5 V.dxf,2576242
3,32X72X7 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x72x7 HMSA10 V.dxf,2576238
4,32X62X10 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x62x10 HMSA10 V.dxf,2576234
5,32X62X10 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x62x10 HMS5 V.dxf,2576232
6,32X62X10 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x62x10 HMSA10 RG.dxf,2576233
7,32X55X10 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x55x10 HMSA10 V.dxf,2576229
8,32X72X7 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x72x7 HMSA10 RG.dxf,2576237
9,32X52X8 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x8 HMSA10 V.dxf,2576225
10,32X52X8 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x8 HMSA10 RG.dxf,2576224
11,32X55X10 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x55x10 HMSA10 RG.dxf,2576228
12,32X52X8 HMS5 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x8 HMS5 RG.dxf,2576222
13,32X55X10 HMS5 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x55x10 HMS5 RG.dxf,2576226
14,32X52X7 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x7 HMSA10 RG.dxf,2576220
15,32X52X7 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x7 HMSA10 V.dxf,2576221
16,32X72X7 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x72x7 HMS5 V.dxf,2576236
17,32X55X10 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x55x10 HMS5 V.dxf,2576227
18,32X50X8 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x50x8 HMSA10 V.dxf,2576217
19,32X48X8 HMSA10 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x48x8 HMSA10 V.dxf,2576210
20,32X52X8 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x8 HMS5 V.dxf,2576223
21,32X52X7 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x52x7 HMS5 V.dxf,2576219
22,32X47X8 HMSA10 RG,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x47x8 HMSA10 RG.dxf,2576206
23,32X48X8 HMS5 V,https://mro-host.herokuapp.com/file_download/?name=skf_seals_32x48x8 HMS5 V.dxf,2576209
