file_name,catalog_number,ids
,TSN 520A,2944606
,K8773081.00,7286194
,CR 99176,2944620
,TKBA 40,2983208
,22218 E/C3,2938634
,SNH 518 615 V,2944601
,nan,316543624
,476210-200 C,2944729
,BS2-2218-2RS/GEM7,2938613
,6202-2Z/GJN,2919944
,6304-2Z/C3,2918953
1,NU 213 ECM,2891517
1,NU 207 ECP,2894337
,CMAC-112K,2422359
,CMAC-112-K-10M,2789994
,SYNT70L,2789995
H+315.zip,H 315,2919555
BS2-2213-2RS%2FVT143.zip,BS2-2213-2RS/VT143,2975908
,6316M/C3VL0241,2572739
,C 2216 V/C4,2070596
,BB1-0608 DD,2484310
C+2318.zip,C 2318,2070598
N+1014+KPHA%2FSP.zip,N 1014 KPHA/SP,2874003
C+3224+K.zip,C 3224 K,2070597
,608-ZRZ/VK251,2070587
6201-2Z.zip,6201-2Z,2070592
6302-2Z.zip,6302-2Z,2070594
6004-2Z.zip,6004-2Z,2070591
6202-2Z.zip,6202-2Z,2070593
,FYT 3/4 WF,2070586
239%2F630+CAK%2FW33.zip,239/630 CAK/W33,2070595
FYT+1.1%2F2+TF%2FVA228.zip,FYT 1.1/2 TF/VA228,2544976
6002-2Z.zip,6002-2Z,2070589
6003-2Z.zip,6003-2Z,2070590
,FY 1.5/8 WF,2070582
,SY 1.3/4 WF,2070584
6001-2Z.zip,6001-2Z,2070588
,239/500 CAK/C3W33,2070580
,230/600 CAK/C083W506,2070578
,238/850 CAKMA/C3W20,2070581
,230/630 CAK/HA3C084W50,2070575
,NUP 210 ECNJ/C3,2070573
,230/670 CAK/C083W506,2070579
,OH 2340 H,2070574
,6312-RS2Z/C4S1VT228,2070571
628%2F6-2Z.zip,628/6-2Z,2070577
6207+NR.zip,6207 NR,2070568
C+4026+V.zip,C 4026 V,2070585
6314+NR.zip,6314 NR,2070572
6312+NR.zip,6312 NR,2070570
6308+NR.zip,6308 NR,2070562
6310-ZNR.zip,6310-ZNR,2070563
6015+NR.zip,6015 NR,2070565
6214+NR.zip,6214 NR,2070558
6009+NR.zip,6009 NR,2070564
6307-ZNR.zip,6307-ZNR,2070560
6306-RS1.zip,6306-RS1,2070559
FYT+7%2F8+TF.zip,FYT 7/8 TF,2070583
6307+NR.zip,6307 NR,2070561
6211-ZNR.zip,6211-ZNR,2070557
6206+NR.zip,6206 NR,2070567
6204+NR.zip,6204 NR,2070566
6312-ZNR.zip,6312-ZNR,2070569
,N 212 ECP/C4PVB143,2070550
,NU 2322 ECP/C3,2070551
,NU 2211 ECJ/C3,2070548
6208+NR.zip,6208 NR,2070555
6008+NR.zip,6008 NR,2070554
,OSNP 3048X9.,2070545
YAR+203-2F.zip,YAR 203-2F,2070553
6213+NR.zip,6213 NR,2070552
,NU 213 ECP/CNM,2070547
