ids,catalog_number,cad
7286194,K8773081.00,none
2944729,476210-200 C,none
2944620,CR 99176,none
2983208,TKBA 40,none
2944606,TSN 520A,none
2944601,SNH 518 615 V,none
2938634,22218 E/C3,none
2938613,BS2-2218-2RS/GEM7,none
2930656,721,none
2919944,6202-2Z/GJN,none
2918953,6304-2Z/C3,none
2894338,7206,none
2874003,N 1014 KPHA/SP,none
2789995,SYNT70L,none
2572739,6316M/C3VL0241,none
2484310,BB1-0608 DD,none
2422359,CMAC-112K,none
2789994,CMAC-112-K-10M,none
2070596,C 2216 V/C4,none
2070587,608-ZRZ/VK251,none
2070581,238/850 CAKMA/C3W20,none
2070580,239/500 CAK/C3W33,none
2070597,C 3224 K,http://www.skf.com/cadDownload/02017062214575419964188192d056f/PARTserver02017062214575419964188192d056f.zip
2070579,230/670 CAK/C083W506,none
2070578,230/600 CAK/C083W506,none
2070593,6202-2Z,http://www.skf.com/cadDownload/02017062214575357564186192d056f/PARTserver02017062214575357564186192d056f.zip
2070598,C 2318,http://www.skf.com/cadDownload/02017062214575426264191192d056f/PARTserver02017062214575426264191192d056f.zip
2919555,H 315,http://www.skf.com/cadDownload/02017062214575426264190192d056f/PARTserver02017062214575426264190192d056f.zip
2070575,230/630 CAK/HA3C084W507,none
2070592,6201-2Z,http://www.skf.com/cadDownload/02017062214575448064193192d056f/PARTserver02017062214575448064193192d056f.zip
2070574,OH 2340 H,none
2070573,NUP 210 ECNJ/C3,none
2070571,6312-RS2Z/C4S1VT228,none
2070594,6302-2Z,http://www.skf.com/cadDownload/02017062214575421564189192d056f/PARTserver02017062214575421564189192d056f.zip
2070590,6003-2Z,http://www.skf.com/cadDownload/02017062214575477664197192d056f/PARTserver02017062214575477664197192d056f.zip
2070591,6004-2Z,http://www.skf.com/cadDownload/02017062214575476164195192d056f/PARTserver02017062214575476164195192d056f.zip
2070582,FY 1.5/8 WF,http://www.skf.com/cadDownload/02017062214575485464198192d056f/PARTserver02017062214575485464198192d056f.zip
2070586,FYT 3/4 WF,http://www.skf.com/cadDownload/02017062214575507364199192d056f/PARTserver02017062214575507364199192d056f.zip
2070585,C 4026 V,http://www.skf.com/cadDownload/02017062214575513564200192d056f/PARTserver02017062214575513564200192d056f.zip
2070584,SY 1.3/4 WF,http://www.skf.com/cadDownload/02017062214575519864201192d056f/PARTserver02017062214575519864201192d056f.zip
2070572,6314 NR,http://www.skf.com/cadDownload/02017062214575551064202192d056f/PARTserver02017062214575551064202192d056f.zip
2070569,6312-ZNR,http://www.skf.com/cadDownload/02017062214575586864204192d056f/PARTserver02017062214575586864204192d056f.zip
2070589,6002-2Z,http://www.skf.com/cadDownload/02017062214575555664203192d056f/PARTserver02017062214575555664203192d056f.zip
2070567,6206 NR,http://www.skf.com/cadDownload/02017062214575653964205192d056f/PARTserver02017062214575653964205192d056f.zip
2070577,628/6-2Z,http://www.skf.com/cadDownload/02017062214575678964207192d056f/PARTserver02017062214575678964207192d056f.zip
2070570,6312 NR,http://www.skf.com/cadDownload/02017062214575678964206192d056f/PARTserver02017062214575678964206192d056f.zip
2070568,6207 NR,http://www.skf.com/cadDownload/02017062214575682064208192d056f/PARTserver02017062214575682064208192d056f.zip
2070565,6015 NR,http://www.skf.com/cadDownload/02017062214575688264209192d056f/PARTserver02017062214575688264209192d056f.zip
2070551,NU 2322 ECP/C3,none
2070550,N 212 ECP/C4PVB143,none
2070561,6307 NR,http://www.skf.com/cadDownload/02017062214575749164211192d056f/PARTserver02017062214575749164211192d056f.zip
2070566,6204 NR,http://www.skf.com/cadDownload/02017062214575746064210192d056f/PARTserver02017062214575746064210192d056f.zip
2070557,6211-ZNR,http://www.skf.com/cadDownload/02017062214575781864214192d056f/PARTserver02017062214575781864214192d056f.zip
2070548,NU 2211 ECJ/C3,none
2070559,6306-RS1,http://www.skf.com/cadDownload/02017062214575781864215192d056f/PARTserver02017062214575781864215192d056f.zip
2070547,NU 213 ECP/CNM,none
2070546,OSNP 3052X9.1/2,none
2070545,OSNP 3048X9.,none
2070544,NUP 2215 ECML/C3,none
2070543,NJ 2216 ECJ/C4,none
2070541,PDN 318,none
2070540,SOFN 234 BL,none
2070537,NCF 1892 V/HB1,none
2070536,NU 328 ECJ/C3,none
2070535,NU 218 ECM/C3,none
2070533,PDN 216,none
2070564,6009 NR,http://www.skf.com/cadDownload/02017062214575824064218192d056f/PARTserver02017062214575824064218192d056f.zip
2070562,6308 NR,http://www.skf.com/cadDownload/02017062214575824064216192d056f/PARTserver02017062214575824064216192d056f.zip
2070563,6310-ZNR,http://www.skf.com/cadDownload/02017062214575824064217192d056f/PARTserver02017062214575824064217192d056f.zip
2070526,K 30X35X20 TN,none
2070524,OSNW 44X7.15/16,none
2070554,6008 NR,http://www.skf.com/cadDownload/02017062214575850564219192d056f/PARTserver02017062214575850564219192d056f.zip
2070555,6208 NR,http://www.skf.com/cadDownload/02017062214575850564220192d056f/PARTserver02017062214575850564220192d056f.zip
2070560,6307-ZNR,http://www.skf.com/cadDownload/02017062214575850564221192d056f/PARTserver02017062214575850564221192d056f.zip
2070523,OSNW 38X6.15/16,none
2070522,OSNW 36X6.7/16,none
2070521,OSNW 34X5.15/16,none
2070520,OSNW 32X5.7/16,none
2070519,OSNW 28X4.15/16,none
2070518,OSNW 26X4.7/16,none
2070517,6318/C4S1,none
2070558,6214 NR,http://www.skf.com/cadDownload/02017062214575859864222192d056f/PARTserver02017062214575859864222192d056f.zip
2070516,6218/C3S1,none
2070556,6211-RS1,http://www.skf.com/cadDownload/02017062214575887964223192d056f/PARTserver02017062214575887964223192d056f.zip
2070515,16022/C3,none
2070553,YAR 203-2F,http://www.skf.com/cadDownload/02017062214575889564225192d056f/PARTserver02017062214575889564225192d056f.zip
2070514,6006-2RS1/LHT23,none
