catalog_number,overview,ids
DJ0066,"<p>Bell &amp; Gossett ball bearing for the pump end on B&amp;G model 185011, 185012, 185013, 185321, and P85005 bearing assemblies on series 1510 and e-1510 pumps. It is recommended to repair both the front and rear bearings at the same time.</p>",2983428
P58542,<p>Bell &amp; Gossett coverplate adapter gasket for XL-11 maintenance-free bearing assemblies on B&amp;G series 60 pumps. </p>,2983429
P10359,,2983430
P39990,,2983431
P57000,"<p>Bell &amp; Gossett impeller washer for B&amp;G series HD3, HV, LD3, PD, PR, 1, 1-1/4, 1-1/2, 2, 2-1/2, 60, 100, and 1522 pumps with 118844, 186863189034, 189103, 189105, 189122, 189131, 189104, 189162, 189163, 189166 and P10316 bearing assemblies. Also fits B&amp;G series 90 all bronze pumps, including models 1AA 1-1/4AA, 1-1/2AA, and 2AA.</p>",2983432
P57300,<p>Bell &amp; Gossett oil well cover gasket for all B&amp;G series PD and 60 pumps.</p>,2983433
P80815,<p>Bell &amp; Gossett front bearing gasket for 118844 and 189034 bearing assemblies on B&amp;G series 100 pumps. </p>,2983434
P80816,"<p>Bell &amp; Gossett front bearing gasket for 86863, 186865, 189105, 189162, 189163, 189165, 189166, P10316, P10323, and P10324 bearing assemblies for B&amp;G pumps. This gasket also fits obsolete bearing assembles, including models 189100, 189101, 189102, 189103, 189120, 189121, 189122, 189129, 189131, and 189104.</p>",2983435
P04890,"<p>Bell &amp; Gossett 3-7/8"" outside diameter body gasket for B&amp;G series HV pumps. </p>",2983436
J23875,"<p>Bell &amp; Gossett impeller lock washer for B&amp;G series 1531 and series 80 pumps with 1-1/4"" shafts.</p>",2983437
J91988,"<p>Bell &amp; Gossett sleeve set screw for B&amp;G series VSCS pumps, size 8x10x17.</p>",2983438
J91995,"<p>Bell &amp; Gossett sleeve set screw for B&amp;G series VSCS pumps, sizes 10x12 and 12x14x12-1/2.</p>",2983439
J92135,"<p>Bell &amp; Gossett nameplate screw for models CB-4F, CB-4G, CB-5F, CB-5G, CB-6F, CB-6G, CB-8F, CB-8G, CB-10F, CB-10G, CB-12F, CB-12G circuit setters, as well as, all triple duty valve models except 3DX-1, 3DX-1-1/4, and 3DX-1-1/2.</p>",2983440
P04650,"<p>Bell &amp; Gossett impeller lock washer for B&amp;G series HV, 1, 1-1/4, 1-1/2, 2, 60, and 1522 pumps with 186865, 189162, and 189163 bearing assemblies.</p>",2983441
P04883,<p>Bell &amp; Gossett oil wick for bearing assemblies on B&amp;G series PD and 60 pumps.</p>,2983442
P04940,"<p>Bell &amp; Gossett impeller key for all B&amp;G series 60 pumps size AA. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983443
P10910,"<p>Bell &amp; Gossett seal plate cap screw for all B&amp;G series VSC-D pumps except size 12x14x17. Cap screws are sold individually, but a total of eight is required for this pump.</p>",2983444
P11150,"<p>Bell &amp; Gossett impeller lock washer for B&amp;G series PD and 60 pumps with 185260, 185261, and 185264 bearing assemblies.</p>",2983445
P15691,"<p>Bell &amp; Gossett body gasket for B&amp;G series PL iron body and all bronze pumps, including models PL-30, PL-30B, PL-36, PL-36B, PL-45, PL-45B, PL-50, PL-50B, PL-75, PL-75B, PL-130/2, PL-130B/2, PL-130/3, and PL-130B/3. </p>",2983446
P39040,"<p>Bell &amp; Gossett volute drain plug for B&amp;G series 1510 and e-1510 pumps, sizes 2 and larger.</p>",2983447
