id,catalog_number,description,product_substitutions
2975902,13214,DODGE 013214 PX90QD FLANGE ASSY,none
2974002,15556,DODGE 015556  RAPTOR 20HSB 2-1/4,none
2929624,XTH40,Dodge 226921 XTH40 WELD-ON HUB,none
2929623,XTH30,Dodge 226919 XTH30 WELD-ON HUB,none
2924856,904109ZINC,DODGE 904109ZINC TA4207RA ROD ASSEMBLY,none
2924643,226920,Dodge 226920 XTH35 WELD-ON HUB,none
2924585,15554,DODGE 015554  RAPTOR 20HSB 2-1/8,none
2920303,Q2X38MM,DODGE Q2X38MM Q2 X 38MM-KW BUSHING SPECIAL CHARGES,none
2920302,Q1X30MM,DODGE Q1X30MM Q1 X 30MM-KW BUSHING DRIVE COMPONENTS,none
2920301,MB98X15/16,DODGE MB98X15/16 BK100 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920300,MB98X1-1/4,DODGE MB98X1-1/4 BK100 X 1-1/4 SHEAVE DRIVE COMPONENTS,none
2920299,MB88X15/16,DODGE MB88X15/16 BK90 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920298,MB78X1-1/4,DODGE MB78X1-1/4 BK80 X 1-1/4 SHEAVE DRIVE COMPONENTS,none
2920297,MB73X30MM,DODGE MB73X30MM BK75 X 30MM SHEAVE DRIVE COMPONENTS,none
2920296,MB60X15/16,DODGE MB60X15/16 BK62 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920295,MB118X1-3/8,DODGE MB118X1-3/8 BK120 X 1-3/8 SHEAVE DRIVE COMPONENTS,none
2920294,MB113X1-3/8,DODGE MB113X1-3/8 BK115 X 1-3/8 SHEAVE DRIVE COMPONENTS,none
2920293,MB108X30MM,DODGE MB108X30MM BK110 X 30MM SHEAVE DRIVE COMPONENTS,none
2920292,MB103X1-3/8,DODGE MB103X1-3/8 BK105 X 1-3/8 SHEAVE DRIVE COMPONENTS,none
2920291,MA93X15/16,DODGE MA93X15/16 AK94 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920290,MA93X1-1/4,DODGE MA93X1-1/4 AK94 X 1-1/4 SHEAVE DRIVE COMPONENTS,none
2920289,MA58X15/16,DODGE MA58X15/16 AK59 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920288,MA53X15/16,DODGE MA53X15/16 AK54 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920287,MA43X15/16,DODGE MA43X15/16 AK44 X 15/16 SHEAVE DRIVE COMPONENTS,none
2920286,M8H51T405TSC10036P,DODGE M8H51T405TSC10036P MTA SIZE 851:1405C-FACECECP4402T-417 GEAR PRODUCTS,none
2920285,M8H46T405TSC10036P,DODGE M8H46T405TSC10036P MTA SIZE 846:1405C-FACECECP4402T-417 GEAR PRODUCTS,none
2920284,M8H40T405TSC10036P,DODGE M8H40T405TSC10036P MTA SIZE 840:1405C-FACECECP4402T-417 GEAR PRODUCTS,none
2920283,M8H34T405TSC10036P,DODGE M8H34T405TSC10036P MTA SIZE 834:1405C-FACECECP4402T-417 GEAR PRODUCTS,none
2920282,M8H31T405TSC10036P,DODGE M8H31T405TSC10036P MTA SIZE 831:1405C-FACECECP4402T-417 GEAR PRODUCTS,none
