id,catalog_number,additional_description
104072,300-P,
104627,3783-52,
105013,4PSG,
105100,5095-17,
105221,6000-9,
105343,6200-1,
105516,646,
105517,648,
105936,855206,
105952,861-25,
105998,90SCS4025F,
107296,B5101S250CC-C,
107311,B5101V200CC-B,
107313,B5101V250CC-A,
107314,B5101V250CC-B,
107315,B5101V250CC-C,
108053,BN32RU62,
108099,BPF21,
108305,BV2BV-05011-EA,
108307,BV2BV-10011-EA,
108308,BV2BV-12511-EA,
108309,BV2BV-15011-EA,
108310,BV2BV-20011-EA,
108311,BV2BV-30011-EA,
108320,BV2IG-05011-EA,
108323,BV2IG-12511-EA,
108324,BV2IG-15011-EA,
109067,DGHW7,
109099,DM5,
110019,FRP-95-199,
110382,G600-F-AL,
110742,GPA-95-011,
110775,GRP-95-747,
110793,GRP-96-739,
110917,HA15S15F,
110918,HA15S15T,
111142,HSTBC1200,
112060,O246BU,
112061,O249BU,
112097,P3-TFG-5,
113023,RHA2530T,
113159,RPA-95-947,
113173,RRP-95-590,
113383,SCS4025F,
113915,STBC188,
113917,STBC212,
113937,STBC420L,
114204,TBC263,
114223,TBC675,
114644,W74D-2A-MB7,
114840,NF307Y50GHT,
114842,NF610Y100RAS,
114844,NF610Y50RAS,
114845,NF615Y100RAF,
114847,NF615Y50RAF,
114898,P3-TFG-1,
114899,P3-TFG-10,
114900,P3-TFG-11,
114901,P3-TFG-6,
114902,P3-TFG-8,
114903,P3-TFG-9,
115401,P3-TFG-7,
115545,P3-TFG-3,
115562,SW15,
837469,305,
837470,507,
837471,709,
837472,811,
837473,983,
837474,986,
837475,989,
837476,993,
837477,997,
837478,999,
837482,06.08.2404,
837540,04.06.2404,
837552,AS156,
837579,OCT32,
837597,4433,
837607,04.04.2501,
837646,02.06.2404,
837647,12.12.2503,
837693,06.08.5404,
837697,08.12.6405,
837792,16.12.2404,
837794,08.12.2501,
837819,4093,
837866,4063,
837867,804,
837868,817,
837899,12.10.2404,
837900,08.10.2404,
837901,08.12.2404,
837902,02.04.2404,
837903,08.04.2404,
837904,06.06.2404,
837905,08.06.2404,
837906,08.08.2404,
837907,16.12.2405,
837909,04.04.2405,
837910,08.06.2405,
837912,12.10.2501,
837914,02.06.2501,
837915,04.06.2501,
837916,06.06.2501,
837917,08.06.2501,
837918,12.08.2501,
837919,04.08.2501,
837920,08.08.2501,
837922,06.06.2503,
837966,04.06.5000,
837969,08.12.5404,
837974,04.06.5404,
837976,04.12.5406,
837977,08.12.5406,
837982,04.06.5406,
837983,02.08.5406,
837984,04.08.5406,
837985,06.08.5406,
838001,06.08.6401,
838002,08.08.6401,
838004,08.10.6405,
838005,16.12.6405,
838009,04.04.6405,
838010,06.04.6405,
838011,04.06.6405,
838012,06.06.6405,
838013,06.08.6405,
838014,08.08.6405,
838019,16.12.6410,
838020,08.06.6410,
838021,10.08.6410,
838022,06.08.6410,
838026,04.06.6500,
838037,12.12.6901,
838038,06.06.6901,
838039,06.08.6901,
838040,08.08.6901,
838250,12.12.2404,
838251,04.04.2404,
838252,06.04.2404,
838253,12.08.2404,
838254,08.10.2405,
838255,12.12.2405,
838256,02.04.2405,
838257,04.06.2405,
838258,06.06.2405,
838259,12.08.2405,
838260,06.08.2405,
838261,08.08.2405,
838262,08.10.2501,
838263,12.12.2501,
838264,02.04.2501,
838265,06.08.2501,
838266,08.10.2503,
838267,02.04.2503,
838268,04.04.2503,
838269,04.06.2503,
838270,06.08.2503,
838271,08.08.2503,
838280,02.06.5406,
838286,08.10.6401,
838287,12.12.6401,
838288,04.04.6401,
838289,08.10.6410,
838314,P3-TFG-2,
838373,5094,
838374,5106,
838375,6138,
838376,8160,
838377,8170,
838381,8180,
838465,110319,
838466,112012,
838491,13NHN-G100-600,
