ids,catalog_number,cad
7286194,K8773081.00,none
2944601,SNH 518 615 V,none
2983208,TKBA 40,none
2944606,TSN 520A,none
2944620,CR 99176,none
2930656,721,none
2938613,BS2-2218-2RS/GEM7,none
2944729,476210-200 C,none
2938634,22218 E/C3,none
2919944,6202-2Z/GJN,none
2789995,SYNT70L,none
2789994,CMAC-112-K-10M,none
2918953,6304-2Z/C3,none
2894338,7206,none
2572739,6316M/C3VL0241,none
2422359,CMAC-112K,none
2919555,H 315,http://www.skf.com/cadDownload/02017062320333818261101192d056f/PARTserver02017062320333818261101192d056f.zip
2484310,BB1-0608 DD,none
2070596,C 2216 V/C4,none
2874003,N 1014 KPHA/SP,http://www.skf.com/cadDownload/02017062320333911861104192d056f/PARTserver02017062320333911861104192d056f.zip
2544976,FYT 1.1/2 TF/VA228,http://www.skf.com/cadDownload/02017062320334133361105192d056f/PARTserver02017062320334133361105192d056f.zip
2070594,6302-2Z,http://www.skf.com/cadDownload/02017062320334322161107192d056f/PARTserver02017062320334322161107192d056f.zip
2070584,SY 1.3/4 WF,none
2070597,C 3224 K,http://www.skf.com/cadDownload/02017062320334732461109192d056f/PARTserver02017062320334732461109192d056f.zip
2070598,C 2318,http://www.skf.com/cadDownload/02017062320334751161111192d056f/PARTserver02017062320334751161111192d056f.zip
2070587,608-ZRZ/VK251,none
2070582,FY 1.5/8 WF,none
2070593,6202-2Z,http://www.skf.com/cadDownload/02017062320334771461112192d056f/PARTserver02017062320334771461112192d056f.zip
2070590,6003-2Z,http://www.skf.com/cadDownload/02017062320334983561116192d056f/PARTserver02017062320334983561116192d056f.zip
2070592,6201-2Z,http://www.skf.com/cadDownload/02017062320334992961117192d056f/PARTserver02017062320334992961117192d056f.zip
2070585,C 4026 V,http://www.skf.com/cadDownload/02017062320334997661118192d056f/PARTserver02017062320334997661118192d056f.zip
2070586,FYT 3/4 WF,none
2070595,239/630 CAK/W33,http://www.skf.com/cadDownload/02017062320335145861120192d056f/PARTserver02017062320335145861120192d056f.zip
2070589,6002-2Z,http://www.skf.com/cadDownload/02017062320335162961121192d056f/PARTserver02017062320335162961121192d056f.zip
2070583,FYT 7/8 TF,http://www.skf.com/cadDownload/02017062320335169261122192d056f/PARTserver02017062320335169261122192d056f.zip
2070581,238/850 CAKMA/C3W20,none
2070579,230/670 CAK/C083W506,none
2070575,230/630 CAK/HA3C084W507,none
2070571,6312-RS2Z/C4S1VT228,none
2070578,230/600 CAK/C083W506,none
2070580,239/500 CAK/C3W33,none
2070574,OH 2340 H,none
