ids,catalog_number,cad
2982635,7340,
2976075,242284,
2919768,2517 BTS,
2919362,SS 8MX-60S-36 (2517),
2873832,P23-5MGT-25,
2788490,7023BR,
2788489,7018BR,
2788488,7033BR,
2788487,7032BR,
2788486,7031BR,
2788485,7029BR,
2788484,7028BR,
2788483,7027BR,
2788482,7026BR,
2788481,7025BR,
2788480,7022BR,
2788479,7017BR,
2788478,7016BR,
2788477,7015BR,
2788476,7014BR,
2788475,7013BR,
2788474,7012BR,
2788473,7011BR,
2788472,7010BR,
2788471,7009BR,
2788470,7008BR,
2788469,6997BR,
2788468,6996BR,
2788467,6994BR,
2788466,6993BR,
2788465,6992BR,
2788464,6991BR,
2788463,6988BR,
2788462,6987BR,
2788461,6983BR,
2788460,6982BR,
2788459,6981BR,
2788458,6980BR,
2788457,6979BR,
2788456,6978BR,
2788455,6977BR,
2788454,6976BR,
2788453,6975BR,
2788452,6974BR,
2788451,7003BR,
2788450,7024BR,
2788449,7019BR,
2788448,7006BR,
2788447,7005BR,
2788446,7004BR,
2788445,6995BR,
2788444,6990BR,
2788443,6989BR,
2788442,6986BR,
2788441,6985BR,
2788440,6973BR,
2788439,7034BR,
2788438,7002BR,
2788437,7001BR,
2788436,7000BR,
2788435,6999BR,
2788434,6998BR,
2788433,7030BR,
2788432,7007BR,
2788431,6984BR,
2788430,7035BR,
2788429,7021BR,
2788428,7020BR,
2788427,30C3636,
2788426,21C3636,
2788425,36C4683,
2788424,49C4313,
2788423,42C4620,
2788422,44C4714,
2788421,42C4313,
2788420,42C4455,
2788419,46C3569,
2788418,43C4340,
2788417,44C3569,
2788416,32C4588,
2788415,24C4108,
2788414,39C4266,
2788413,28C4266,
2788412,20C4022,
2788411,47C4266,
2788410,33C3836,
2788409,36C4368,
2788408,28C4313,
2788407,03C3470,
2788406,30C3596,
2788405,42C4266,
2788404,40C3569,
2788403,40C3691,
2788402,46C4387,
2788401,20C3596,
2788400,25C4076,
2788399,34C3596,
2788398,27C4159,
2788397,41C4620,
2788396,28C3596,
2788395,47C4572,
2788394,19C3450,
2788393,38C4683,
2788392,43C4533,
2788391,23C4057,
2788390,26C3596,
2788389,45G5035,
2788388,97G3549,
2788387,75G3214,
2788386,72G2638,
2788385,28G4168,
2788384,21G3849,
2788383,80G2949,
2788382,77G3158,
2788381,93G3499,
2788380,94G3020,
2788379,29G4573,
2788378,28G3982,
2788377,28G3636,
2788376,27G4077,
2788375,36G4368,
2788374,22G4246,
2788373,30G4604,
2788372,28G4588,
2788371,20G3596,
2788370,25G4076,
2788369,29G3958,
2788368,34G3596,
2788367,28G3596,
2788366,49G4266,
2788365,12/C106,
2788364,11/C103,
2788363,10/C103,
2788362,9/C103,
2788361,8/C103,
2788360,7/C103,
2788359,6/C103,
2788358,5/C103,
2788357,4/C103,
2788356,3/C103,
2788355,2/C103,
2788354,SPC9500P,
2788353,CP99,CP99.zip
2788352,6/5VXP2000,
2788351,6/5VXP1900,
2788350,6/5VXP1500,
2788349,5/5VXP2000,
2788348,5/5VXP1900,
2788347,5/5VXP1500,
2788346,4/5VXP2000,
2788345,4/5VXP1900,
2788344,4/5VXP1500,
2788343,3/5VXP2000,
2788342,3/5VXP1900,
2788341,3/5VXP1500,
2788340,2/5VXP2000,
2788339,2/5VXP1900,
2788338,2/5VXP1500,
2788337,19MGT-6650-300,
2788336,19MGT-6270-300,
2788335,19MGT-6080-300,
2788334,19MGT-5890-300,
2788333,19MGT-5662-300,
2788332,19MGT-5491-300,
2788331,19MGT-5301-300,
2788330,19MGT-5111-300,
2788329,19MGT-4902-300,
2788328,19MGT-4522-300,
2788327,19MGT-4408-300,
2788326,19MGT-6650-250,
2788325,19MGT-6270-250,
2788324,19MGT-6080-250,
2788323,19MGT-5890-250,
2788322,19MGT-5662-250,
2788321,19MGT-5491-250,
2788320,19MGT-5301-250,
2788319,19MGT-5111-250,
2788318,19MGT-4902-250,
2788317,19MGT-4522-250,
2788316,19MGT-4408-250,
2788315,19MGT-6650-200,
2788314,19MGT-6270-200,
2788313,19MGT-6080-200,
2788312,19MGT-5890-200,
2788311,19MGT-5662-200,
2788310,19MGT-5491-200,
2788309,19MGT-5301-200,
2788308,19MGT-5111-200,
2788307,19MGT-4902-200,
2788306,19MGT-4522-200,
2788305,19MGT-4408-200,
2788304,19MGT-6650-150,
2788303,19MGT-6270-150,
2788302,19MGT-6080-150,
2788301,19MGT-5890-150,
2788300,19MGT-5662-150,
2788299,19MGT-5491-150,
2788298,19MGT-5301-150,
2788297,19MGT-5111-150,
2788296,19MGT-4902-150,
2788295,19MGT-4522-150,
2788294,19MGT-4408-150,
2788293,19MGT-6650-100,
2788292,19MGT-6270-100,
2788291,19MGT-6080-100,
2788290,19MGT-5890-100,
2788289,19MGT-5662-100,
2788288,19MGT-5491-100,
2788287,19MGT-5301-100,
2788286,19MGT-5111-100,
2788285,19MGT-4902-100,
2788284,19MGT-4522-100,
2788283,19MGT-4408-100,
2788282,14ADV-4410-125,
2788281,14ADV-4326-125,
2788280,14ADV-3920-125,
2788279,14ADV-3850-125,
2788278,14ADV-3500-125,
2788277,14ADV-3360-125,
2788276,14ADV-3304-125,
2788275,14ADV-3136-125,
2788274,14ADV-2828-125,
2788273,14ADV-2800-125,
2788272,14ADV-2730-125,
2788271,14ADV-2660-125,
2788270,14ADV-2590-125,
2788269,14ADV-2520-125,
2788268,14ADV-2450-125,
2788267,14ADV-2380-125,
2788266,14ADV-2310-125,
2788265,14ADV-2240-125,
2788264,14ADV-2100-125,
2788263,14ADV-1960-125,
2788262,14ADV-1890-125,
2788261,14ADV-1750-125,
2788260,14ADV-1610-125,
2788259,14ADV-1568-125,
2788258,14ADV-1400-125,
2788257,14ADV-1260-125,
2788256,14ADV-1190-125,
2788255,14ADV-1120-125,
