features,image,ids,additional_description,specs,document_url,industry_application,document_name,catalog_number
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Disposable PVC Safety</li>
    <li>Orange</li>
    <li>Black PVC front ties</li>
    <li>One size, 18"" x 27""</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/garments/safety_vests/mcr-v041-web600.jpg,2982462,"<div class=""black material-long-description"">
                
                The V041 disposable safety vests is constructed of 
a .10mm single ply of PVC and is fluorescent 
orange in color.  The front features black pvc 
ties and come in one size only. Good for temporary 
jobs where ANSI standards are not required and 
cost is an issue. 

            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/garments/v041"">One Size</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>
                                                    <dt>Category:</dt>
                                                    <dd>Safety Vest</dd>
                                                    <dt>Material:</dt>
                                                    <dd>PVC</dd>
                                                    <dt>Color:</dt>
                                                    <dd>Fluorescent Orange</dd>
                                                    <dt>Hi Vis:</dt>
                                                    <dd>Yes</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thickness:</dt>
                                                    <dd>.10 mm</dd>
                                                    <dt>Front Closure:</dt>
                                                    <dd>Tie</dd>
                                                    <dt>Size:</dt>
                                                    <dd>One Size</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Garments</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Garments&mN=V041&mG=%7B18C09C40-FBE1-43FD-A2A3-948D7D140A21%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Construction                                    </li>
                                    <li>
Warehousing                                    </li>
                                    <li>
Manufacturing                                    </li>

                        </ul>

                </div>",Spec Sheet,V041
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Breathable fabric helps hands cool</li>
    <li>Reversible, Unhemmed</li>
    <li>Comfortable and light weight</li>
    <li>100% Cotton</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8600c-web600.jpg,2982456,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8600C features 100% cotton material, is reversible and unhemmed.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8600c"">Large</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Large</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8600C&mG=%7B4050E917-10D1-46B4-8C4A-B83DDCA878B9%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8600C
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Breathable fabric helps hands cool</li>
    <li>Comfortable and light weight</li>
    <li>Reversible</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8600-web600.jpg,2982455,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8600 features 65% polyester and 35% cotton and is reversible and unhemmed.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8600"">Large</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Large</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton / Poly Blend</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8600&mG=%7B2B6A2E20-2BA5-4D78-AA24-BD30C2A20B40%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8600
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Breathable fabric helps hands cool</li>
    <li>Reversible, Unhemmed</li>
    <li>Comfortable and light weight</li>
    <li>100% Cotton</li>
    <li>Ladies Size</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8610c-web600.jpg,2982457,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8610C features 100% cotton material, is reversible and unhemmed. Ladies size.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8610c"">Small</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Small</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8610C&mG=%7BB3B2CF74-6DF5-4E55-854D-213221472F4F%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8610C
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Sold in Case Pack Only</li>
    <li>Breathable fabric helps hands cool</li>
    <li>Reversible, Unhemmed</li>
    <li>Comfortable and light weight</li>
    <li>100% Cotton</li>
    <li>14 Inch Length</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8614c-web600.jpg,2982459,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8614C features 100% cotton material, is reversible and unhemmed. 14 Inch Length.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8614c"">Large</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Large</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8614C&mG=%7BA787B632-EF8C-467A-92A6-269581B3A29B%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8614C
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Breathable fabric helps hands cool</li>
    <li>Comfortable and light weight</li>
    <li>Reversible</li>
    <li>Ladies size</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8610-web600.jpg,2982454,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8610 features 65% polyester / 35% cotton, is reversible and unhemmed. Ladies size.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8610"">Small</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Small</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton / Poly Blend</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8610&mG=%7B6B2CA512-4606-4B58-B0C5-9476518BB632%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8610
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Medium Weight 100% Cotton</li>
    <li>Breathable fabric helps hands cool</li>
    <li>Reversible and Hemmed</li>
    <li>Comfortable and light weight</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8620c-web600.jpg,2982451,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless our Lisle Inspector gloves are the perfect choice. They can be worn alone or used as glove liners. The 8620C features medium weight 100% cotton for excellent comfort and durability. Hemmed
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8620c"">Large</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Large</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8620C&mG=%7B40C0DA5F-19F7-441A-ACAC-C1243AB3043E%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>

                        </ul>

                </div>",Spec Sheet,8620C
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Medium Weight 100% Cotton</li>
    <li>Breathable fabric helps hands cool</li>
    <li>Reversible and Hemmed</li>
    <li>Comfortable and light weight</li>
    <li>Ladies Size</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/gloves/cotton/mcr-8621c-web600.jpg,2982450,"<div class=""black material-long-description"">
                
                When you need the job to stay clean and spotless
our Lisle Inspector gloves are the perfect choice.
They can be worn alone or used as glove liners. The
8621C features medium weight 100% cotton
for excellent comfort and durability. Hemmed, Ladies size.
            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/gloves/8621c"">Small</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Product Type:</dt>
                                                    <dd>Inspectors</dd>
                                                    <dt>Size:</dt>
                                                    <dd>Small</dd>
                                                    <dt>Pattern:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Material Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Cuff Style:</dt>
                                                    <dd>Slip-On - Open</dd>
                                                    <dt>Cuff Material:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Finger Style:</dt>
                                                    <dd>Standard</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Thumb Style:</dt>
                                                    <dd>Straight</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Features:</dt>
                                                    <dd>Reversible</dd>
                                                    <dt>Fabric Color:</dt>
                                                    <dd>White</dd>
                                                    <dt>Packaging -  Inner Pack:</dt>
                                                    <dd>Polybag 12</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Cotton</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Gloves&mN=8621C&mG=%7B8ECAD082-1947-4993-82DE-C47A714ACEB7%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Assembly Line Production                                    </li>
                                    <li>
Baggage Handling                                    </li>
                                    <li>
Construction                                    </li>

                        </ul>

                </div>",Spec Sheet,8621C
"<div class=""tab-pane fade in active"" id=""features"">
                <div class=""text-center"">
                    <h3>Material Features</h3>
                </div>
                <div class=""arrow-list"">
                    <ul>
    <li>Orange polyester mesh, Non-ANSI</li>
    <li>Break away design with hook and loop closures</li>
    <li>Hook and Loop adjustable straps to fit a variety of sizes</li>
    <li>Cool and lightweight</li>
    <li>1 3/8"" white reflective stripes</li>
</ul>
                </div>
            </div>",http://www.mcrsafety.com/~/media/mcrsafety_com/data/material-images/garments/safety_vests/mcr-chev2ot-web600.jpg,2982408,"<div class=""black material-long-description"">
                
                These general purpose vest are not ANSI compliant, 
but you will be covered in bright Fluorescent 
Orange or Fluorescent Lime colors in order to 
stand out against your surroundings. One size fits 
most unless otherwise stated. Avalable in a 
variety of configurations and colors. The CHEV2OT 
is an orange polyester mesh vest with 1 3/8"" white 
chevron pattern reflective stripes. It also is a 
break away option and has hook and loop adjustable 
straps to fit a variety of sizes. 

            </div><div class=""row material-attr-grouping"">
                                        <div class=""col-sm-6 black"">
Sizes                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/garments/chev2ot"">One Size</a></li>

                                            </ul>
                                        </div>
                                        <div class=""col-sm-6 black"">
Series                                            
                                            <ul class=""arrow-list"">
                                                    <li><a class=""red-hover"" href=""/safety-equipment/garments/chev2ot"">Vests</a></li>

                                            </ul>
                                        </div>
                       </div>","<div class=""tab-pane fade "" id=""specs"">
                                <div class=""text-center"">
                                    <h3>Specifications &amp; Details</h3>
                                </div>
                                <div class=""row"">
                                    <div class=""col-md-6 col-sm-12"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Series:</dt>
                                                    <dd>Vests</dd>
                                                    <dt>Brand:</dt>
                                                    <dd>MCR Safety</dd>
                                                    <dt>Category:</dt>
                                                    <dd>Safety Vest</dd>
                                                    <dt>Material:</dt>
                                                    <dd>Polyester</dd>
                                                    <dt>Color:</dt>
                                                    <dd>Fluorescent Orange</dd>
                                                    <dt>Class:</dt>
                                                    <dd>General Purpose</dd>
                                                    <dt>Break Away:</dt>
                                                    <dd>Yes</dd>
                                                    <dt>Hi Vis:</dt>
                                                    <dd>Yes</dd>

                                        </dl>
                                    </div>
                                    <div class=""col-md-6 col-sm-12 left-column"">
                                        <dl class=""dl-horizontal"">
                                                    <dt>Front Closure:</dt>
                                                    <dd>Hook and Loop</dd>
                                                    <dt>Size:</dt>
                                                    <dd>One Size</dd>
                                                    <dt>Reflective Stripe:</dt>
                                                    <dd>White</dd>
                                                    <dt>Reflective Stripe Width:</dt>
                                                    <dd>1 3/8""</dd>
                                                    <dt>Vest Dimensions:</dt>
                                                    <dd>19 X 54</dd>
                                                    <dt>Marketing Group:</dt>
                                                    <dd>Garments</dd>
                                                    <dt>Fabric Type:</dt>
                                                    <dd>Mesh</dd>

                                        </dl>
                                    </div>
                                </div>
                            <!-- SPC Attributes -->

                </div>",http://www.mcrsafety.com/siteservices/GenerateSpecSheet?mC=Garments&mN=CHEV2OT&mG=%7B11506E27-D179-441A-B6B8-280E271B39C9%7D,"<div class=""tab-pane fade "" id=""industries"">
                        <div class=""text-center"">
                            <h3>Industries &amp; Applications</h3>
                        </div>
                        <ul class=""arrow-list"">
                                    <li>
Construction                                    </li>
                                    <li>
Heavy Equipment Operator                                    </li>
                                    <li>
Landscaping                                    </li>
                                    <li>
Sanitation                                    </li>
                                    <li>
Warehousing                                    </li>

                        </ul>

                </div>",Spec Sheet,CHEV2OT
