ids,catalog_number,cad
2232322,165-3M-06,http://ms22.product-config.net/cgs/output/74685052/165-3M-06.zip
2232321,156-3M-06,http://ms21.product-config.net/cgs/output/77645629/156-3M-06.zip
2232320,147-3M-06,http://ms22.product-config.net/cgs/output/99751040/147-3M-06.zip
2232319,144-3M-06,http://ms23.product-config.net/cgs/output/77693145/144-3M-06.zip
2232318,123-3M-06,http://ms21.product-config.net/cgs/output/45984496/123-3M-06.zip
2232317,111-3M-06,http://ms23.product-config.net/cgs/output/610487/111-3M-06.zip
2232316,105-3M-06,http://ms21.product-config.net/cgs/output/85394950/105-3M-06.zip
2232315,102-3M-06,http://ms22.product-config.net/cgs/output/35393111/102-3M-06.zip
2232314,87-3M-06,http://ms23.product-config.net/cgs/output/39984664/87-3M-06.zip
2232313,1263-3M-06,http://ms22.product-config.net/cgs/output/64300190/1263-3M-06.zip
2232312,1191-3M-06,http://ms22.product-config.net/cgs/output/35328798/1191-3M-06.zip
2232311,1125-3M-06,http://ms23.product-config.net/cgs/output/44357519/1125-3M-06.zip
2232310,1062-3M-06,http://ms21.product-config.net/cgs/output/73389250/1062-3M-06.zip
2232309,1002-3M-06,http://ms23.product-config.net/cgs/output/46623326/1002-3M-06.zip
2232308,945-3M-06,http://ms22.product-config.net/cgs/output/19774050/945-3M-06.zip
2232307,882-3M-06,http://ms23.product-config.net/cgs/output/84751333/882-3M-06.zip
2232306,843-3M-06,http://ms22.product-config.net/cgs/output/32088128/843-3M-06.zip
2232305,795-3M-06,http://ms23.product-config.net/cgs/output/30796467/795-3M-06.zip
2232304,753-3M-06,http://ms23.product-config.net/cgs/output/73674749/753-3M-06.zip
2232303,711-3M-06,http://ms21.product-config.net/cgs/output/46130740/711-3M-06.zip
2232302,669-3M-06,none
2232301,633-3M-06,none
2232300,597-3M-06,none
2232299,564-3M-06,none
2232298,531-3M-06,none
2232297,513-3M-06,none
2232296,501-3M-06,none
2232295,486-3M-06,none
2232294,474-3M-06,none
2232293,447-3M-06,none
2232292,420-3M-06,none
2232291,399-3M-06,none
2232290,390-3M-06,none
2232289,384-3M-06,none
2232288,363-3M-06,none
2232287,357-3M-06,none
2232286,339-3M-06,none
2232285,318-3M-06,none
2232284,312-3M-06,none
2232283,300-3M-06,none
2232282,285-3M-06,none
2232281,267-3M-06,none
2232280,255-3M-06,none
2232279,252-3M-06,none
2232278,240-3M-06,none
2232277,225-3M-06,none
2232276,213-3M-06,none
2232275,201-3M-06,none
2232274,189-3M-06,none
2232273,177-3M-06,none
2232272,168-3M-06,none
2232271,159-3M-06,none
2232270,150-3M-06,none
2232269,3850-14MGT-85F,none
2232268,3500-14MGT-85F,none
2232267,3360-14MGT-85F,none
2232266,3150-14MGT-85F,none
2232265,3850-14MGT-55F,none
2232264,3500-14MGT-55F,none
2232263,3360-14MGT-55F,none
2232262,3150-14MGT-55F,none
2232261,3850-14MGT-40F,none
2232260,3500-14MGT-40F,none
2232259,3360-14MGT-40F,none
2232258,3150-14MGT-40F,none
2232257,6860-14MGT-170,none
2232256,6160-14MGT-170,none
2232255,5740-14MGT-170,none
2232254,5320-14MGT-170,none
2232253,3360-14MGT-170,none
2232252,4578-14MGT-170,none
2232251,4326-14MGT-170,none
2232250,3850-14MGT-170,none
2232249,3500-14MGT-170,none
2232248,3150-14MGT-170,none
2232247,2800-14MGT-170,none
2232246,2590-14MGT-170,none
2232245,2450-14MGT-170,none
2232244,2310-14MGT-170,none
2232243,2100-14MGT-170,none
2232242,1890-14MGT-170,none
2232241,1778-14MGT-170,none
2232240,1610-14MGT-170,none
2232239,1400-14MGT-170,none
2232238,1190-14MGT-170,none
2232237,966-14MGT-170,none
2232236,6860-14MGT-115,none
2232235,6160-14MGT-115,none
2232234,5740-14MGT-115,none
2232233,5320-14MGT-115,none
2232232,4956-14MGT-170,none
2232231,4956-14MGT-115,none
2232230,3360-14MGT-115,none
2232229,4578-14MGT-115,none
2232228,4326-14MGT-115,none
2232227,3850-14MGT-115,none
2232226,3500-14MGT-115,none
