url,catalog_number,name,ids
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMT52111,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",502285
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1016,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500440
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1020,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500445
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1022,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500447
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1028,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500454
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1018,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500442
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1031,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500456
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1039,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500462
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1035,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500460
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1112,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500487
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1110,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500486
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1047,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500465
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1114,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500488
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1116,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500491
https://www.rexnord.com/cmspages/getfile.aspx?guid=9096b73e-9193-4b01-ab1b-93424eb983dc,1119,"Link-Belt Series 1000, 1100, 21200, 21300, 21400, 21500 Sleeve Bearings",500493
