ids,catalog_number,cad
7286194,K8773081.00,none
2944601,SNH 518 615 V,none
2944620,CR 99176,none
2938613,BS2-2218-2RS/GEM7,none
2983208,TKBA 40,none
2938634,22218 E/C3,none
2918953,6304-2Z/C3,none
2930656,721,none
2894338,7206,none
2789995,SYNT70L,none
2919944,6202-2Z/GJN,none
2789994,CMAC-112-K-10M,none
2484310,BB1-0608 DD,none
2572739,6316M/C3VL0241,none
2422359,CMAC-112K,none
2975908,BS2-2213-2RS/VT143,http://www.skf.com/cadDownload/02017062918505706130122192d056f/PARTserver02017062918505706130122192d056f.zip
2919555,H 315,http://www.skf.com/cadDownload/02017062918505949530125192d056f/PARTserver02017062918505949530125192d056f.zip
2944729,476210-200 C,none
2874003,N 1014 KPHA/SP,http://www.skf.com/cadDownload/02017062918510311430137192d056f/PARTserver02017062918510311430137192d056f.zip
2894337,NU 207 ECP,http://www.skf.com/cadDownload/02017062918510325530138192d056f/PARTserver02017062918510325530138192d056f.zip
2544976,FYT 1.1/2 TF/VA228,http://www.skf.com/cadDownload/02017062918510341130139192d056f/PARTserver02017062918510341130139192d056f.zip
2891517,NU 213 ECM,http://www.skf.com/cadDownload/02017062918510355130140192d056f/PARTserver02017062918510355130140192d056f.zip
2070586,FYT 3/4 WF,none
2070598,C 2318,http://www.skf.com/cadDownload/02017062918510492430142192d056f/PARTserver02017062918510492430142192d056f.zip
2070587,608-ZRZ/VK251,none
2070592,6201-2Z,http://www.skf.com/cadDownload/02017062918510802830148192d056f/PARTserver02017062918510802830148192d056f.zip
2944606,TSN 520A,none
2070594,6302-2Z,http://www.skf.com/cadDownload/02017062918510868330151192d056f/PARTserver02017062918510868330151192d056f.zip
2070593,6202-2Z,http://www.skf.com/cadDownload/02017062918510873030152192d056f/PARTserver02017062918510873030152192d056f.zip
2070588,6001-2Z,http://www.skf.com/cadDownload/02017062918510890230153192d056f/PARTserver02017062918510890230153192d056f.zip
2070596,C 2216 V/C4,none
2070584,SY 1.3/4 WF,none
2070589,6002-2Z,http://www.skf.com/cadDownload/02017062918510898030154192d056f/PARTserver02017062918510898030154192d056f.zip
2070581,238/850 CAKMA/C3W20,none
2070580,239/500 CAK/C3W33,none
2070582,FY 1.5/8 WF,none
2070573,NUP 210 ECNJ/C3,none
2070574,OH 2340 H,none
2070579,230/670 CAK/C083W506,none
2070590,6003-2Z,http://www.skf.com/cadDownload/02017062918511815330164192d056f/PARTserver02017062918511815330164192d056f.zip
2070595,239/630 CAK/W33,http://www.skf.com/cadDownload/02017062918512038330170192d056f/PARTserver02017062918512038330170192d056f.zip
2070585,C 4026 V,http://www.skf.com/cadDownload/02017062918512046130171192d056f/PARTserver02017062918512046130171192d056f.zip
2070578,230/600 CAK/C083W506,none
2070583,FYT 7/8 TF,http://www.skf.com/cadDownload/02017062918512068030172192d056f/PARTserver02017062918512068030172192d056f.zip
2070575,230/630 CAK/HA3C084W507,none
2070571,6312-RS2Z/C4S1VT228,none
2070577,628/6-2Z,http://www.skf.com/cadDownload/02017062918512565630177192d056f/PARTserver02017062918512565630177192d056f.zip
2070572,6314 NR,http://www.skf.com/cadDownload/02017062918512765330181192d056f/PARTserver02017062918512765330181192d056f.zip
2070569,6312-ZNR,http://www.skf.com/cadDownload/02017062918512930730184192d056f/PARTserver02017062918512930730184192d056f.zip
2070567,6206 NR,http://www.skf.com/cadDownload/02017062918513152230185192d056f/PARTserver02017062918513152230185192d056f.zip
2070564,6009 NR,http://www.skf.com/cadDownload/02017062918513167830186192d056f/PARTserver02017062918513167830186192d056f.zip
2070565,6015 NR,http://www.skf.com/cadDownload/02017062918513183430187192d056f/PARTserver02017062918513183430187192d056f.zip
2070563,6310-ZNR,http://www.skf.com/cadDownload/02017062918513195930190192d056f/PARTserver02017062918513195930190192d056f.zip
2070562,6308 NR,http://www.skf.com/cadDownload/02017062918513200530191192d056f/PARTserver02017062918513200530191192d056f.zip
2070568,6207 NR,http://www.skf.com/cadDownload/02017062918513191230189192d056f/PARTserver02017062918513191230189192d056f.zip
2070558,6214 NR,http://www.skf.com/cadDownload/02017062918513209930192192d056f/PARTserver02017062918513209930192192d056f.zip
2070561,6307 NR,http://www.skf.com/cadDownload/02017062918513216130193192d056f/PARTserver02017062918513216130193192d056f.zip
2070557,6211-ZNR,http://www.skf.com/cadDownload/02017062918513487630196192d056f/PARTserver02017062918513487630196192d056f.zip
2070570,6312 NR,http://www.skf.com/cadDownload/02017062918513843330200192d056f/PARTserver02017062918513843330200192d056f.zip
2070551,NU 2322 ECP/C3,none
2070547,NU 213 ECP/CNM,none
2070556,6211-RS1,http://www.skf.com/cadDownload/02017062918514164630203192d056f/PARTserver02017062918514164630203192d056f.zip
2070545,OSNP 3048X9.,none
2070559,6306-RS1,http://www.skf.com/cadDownload/02017062918514237930205192d056f/PARTserver02017062918514237930205192d056f.zip
2070566,6204 NR,http://www.skf.com/cadDownload/02017062918514395530207192d056f/PARTserver02017062918514395530207192d056f.zip
2070560,6307-ZNR,http://www.skf.com/cadDownload/02017062918514412730208192d056f/PARTserver02017062918514412730208192d056f.zip
2070553,YAR 203-2F,http://www.skf.com/cadDownload/02017062918514428330209192d056f/PARTserver02017062918514428330209192d056f.zip
2070546,OSNP 3052X9.1/2,none
2070549,NA 4856,http://www.skf.com/cadDownload/02017062918514443930210192d056f/PARTserver02017062918514443930210192d056f.zip
